ID_TYPE,ID_VALUE,START_TIME,FINISH_TIME,DURATION
TASKID,task_201307250325_0001_m_000083,1374703105545,1374703120805,15260
TASKID,task_201307250325_0001_m_000080,1374703102541,1374703117802,15261
TASKID,task_201307250325_0001_m_000081,1374703102542,1374703117803,15261
TASKID,task_201307250325_0001_m_000088,1374703111702,1374703132976,21274
TASKID,task_201307250325_0001_m_000089,1374703111702,1374703132977,21275
TASKID,task_201307250325_0001_m_000158,1374703114728,1374703136000,21272
TASKID,task_201307250325_0001_m_000159,1374703114729,1374703136000,21271
TASKID,task_201307250325_0001_m_000150,1374703114725,1374703135994,21269
TASKID,task_201307250325_0001_m_000151,1374703114725,1374703135995,21270
TASKID,task_201307250325_0001_m_000152,1374703114726,1374703135996,21270
TASKID,task_201307250325_0001_m_000153,1374703114726,1374703135996,21270
TASKID,task_201307250325_0001_m_000154,1374703114726,1374703135997,21271
TASKID,task_201307250325_0001_m_000155,1374703114727,1374703135997,21270
TASKID,task_201307250325_0001_m_000156,1374703114727,1374703135998,21271
TASKID,task_201307250325_0001_m_000157,1374703114728,1374703135999,21271
TASKID,task_201307250325_0001_r_000036,1374703170105,1374704473235,1303130
TASKID,task_201307250325_0001_r_000037,1374703173303,1374704630284,1456981
TASKID,task_201307250325_0001_r_000034,1374703167075,1374704546056,1378981
TASKID,task_201307250325_0001_r_000035,1374703169973,1374704509241,1339268
TASKID,task_201307250325_0001_r_000032,1374703163448,1374704642772,1479324
TASKID,task_201307250325_0001_r_000033,1374703164051,1374704606224,1442173
TASKID,task_201307250325_0001_r_000030,1374703157508,1374704479249,1321741
TASKID,task_201307250325_0001_r_000031,1374703160396,1374704591400,1431004
TASKID,task_201307250325_0001_m_000279,1374703154296,1374703176369,22073
TASKID,task_201307250325_0001_m_000278,1374703154295,1374703173297,19002
TASKID,task_201307250325_0001_m_000275,1374703154294,1374703176368,22074
TASKID,task_201307250325_0001_m_000274,1374703154294,1374703222960,68666
TASKID,task_201307250325_0001_m_000277,1374703154295,1374703176369,22074
TASKID,task_201307250325_0001_m_000276,1374703154295,1374703170103,15808
TASKID,task_201307250325_0001_m_000271,1374703154293,1374703176367,22074
TASKID,task_201307250325_0001_m_000270,1374703154293,1374703176366,22073
TASKID,task_201307250325_0001_m_000273,1374703154294,1374703176368,22074
TASKID,task_201307250325_0001_m_000272,1374703154293,1374703176367,22074
TASKID,task_201307250325_0001_r_000014,1374703133016,1374704204511,1071495
TASKID,task_201307250325_0001_r_000015,1374703136013,1374704615643,1479630
TASKID,task_201307250325_0001_r_000016,1374703136078,1374704310537,1174459
TASKID,task_201307250325_0001_r_000017,1374703139067,1374704557858,1418791
TASKID,task_201307250325_0001_r_000010,1374703126875,1374704365733,1238858
TASKID,task_201307250325_0001_r_000011,1374703129895,1374704585141,1455246
TASKID,task_201307250325_0001_r_000012,1374703129901,1374704453525,1323624
TASKID,task_201307250325_0001_r_000013,1374703132921,1374704639765,1506844
TASKID,task_201307250325_0001_r_000018,1374703139113,1374704624273,1485160
TASKID,task_201307250325_0001_r_000019,1374703142100,1374704412469,1270369
TASKID,task_201307250325_0001_m_000121,1374703111715,1374703133000,21285
TASKID,task_201307250325_0001_m_000120,1374703111715,1374703132999,21284
TASKID,task_201307250325_0001_m_000123,1374703111716,1374703133002,21286
TASKID,task_201307250325_0001_m_000122,1374703111716,1374703133001,21285
TASKID,task_201307250325_0001_m_000125,1374703114714,1374703135976,21262
TASKID,task_201307250325_0001_m_000124,1374703114714,1374703135975,21261
TASKID,task_201307250325_0001_m_000127,1374703114715,1374703135978,21263
TASKID,task_201307250325_0001_m_000126,1374703114715,1374703135977,21262
TASKID,task_201307250325_0001_m_000129,1374703114716,1374703126862,12146
TASKID,task_201307250325_0001_m_000128,1374703114716,1374703135980,21264
TASKID,task_201307250325_0001_m_000055,1374703093311,1374703114686,21375
TASKID,task_201307250325_0001_m_000054,1374703093311,1374703114684,21373
TASKID,task_201307250325_0001_m_000057,1374703093313,1374703114689,21376
TASKID,task_201307250325_0001_m_000056,1374703093312,1374703114687,21375
TASKID,task_201307250325_0001_m_000051,1374703093308,1374703114678,21370
TASKID,task_201307250325_0001_m_000050,1374703093307,1374703114676,21369
TASKID,task_201307250325_0001_m_000053,1374703093310,1374703114682,21372
TASKID,task_201307250325_0001_m_000052,1374703093309,1374703114680,21371
TASKID,task_201307250325_0001_m_000059,1374703093314,1374703114693,21379
TASKID,task_201307250325_0001_m_000058,1374703093313,1374703114691,21378
TASKID,task_201307250325_0001_r_000058,1374703213825,1374704633291,1419466
TASKID,task_201307250325_0001_r_000059,1374703216850,1374704621665,1404815
TASKID,task_201307250325_0001_r_000050,1374703201157,1374704521953,1320796
TASKID,task_201307250325_0001_r_000051,1374703202654,1374704456568,1253914
TASKID,task_201307250325_0001_r_000052,1374703204387,1374704503650,1299263
TASKID,task_201307250325_0001_r_000053,1374703206539,1374704515268,1308729
TASKID,task_201307250325_0001_r_000054,1374703207562,1374704543050,1335488
TASKID,task_201307250325_0001_r_000055,1374703210343,1374704621664,1411321
